,Name,Rate,Reviews_num,Type,Review,By,Lat,Lng,Hotness
158,Treasury Gardens,4.6,138,Gardens,Nicely maintained and contains both the JFK Memorial and the Victoria Emergency Services Memorial.,By AndyJohn74,-37.8143335,144.9759842,634.8
159,Wine Tours Victoria,5,124,Wine Tours & Tastings  • Bus Tours,,,-37.8135872,144.9633013,620
160,Ride Tours,4.7,131,"Multi-day Tours • 4WD, ATV & Off-Road Tours","My highlight of the tour was the sunset at the twelve apostles and the crazy, cozy beer evening where I learned about...",By debbiehF5287JQ,-37.7957665,144.987349,615.7
161,Starbus Shuttle,4,153,Taxis & Shuttles,"A fast and reliable service with direct to your accommodation door service that is second to none, will always use wh...",By Coldacustomer,-37.711025,144.864057,612
162,The Astor Theatre,4.7,125,Cinemas • Theatres,Great the way this film challenges some old fashioned stereotypes.,By spenttoomuchonfood,-37.8579858,144.9920507,587.5
163,Haigh's Chocolates Block Arcade,4.6,126,Speciality & Gift Shops,,,-37.8154563,144.9643859,579.6
164,Harry Potter and the Cursed Child,4.4,131,Theatre & Performances,"Thoroughly enjoyed this show, the cast & special effects were brilliant kept you interested the entire show.",By Metch14,-37.8107288,144.9724639,576.4
165,Bird's Basement,4.4,129,Jazz Bars,We attended the Jeff Duff tribute to David Bowie evening.,By CardiffMaddie,-37.8112257,144.9566948,567.6
166,Best Tours,4.6,123,Cultural Tours • Ghost & Vampire Tours,,,-37.8185746,144.9627257,565.8
167,The Johnston Collection,4.4,126,Historic Sites • Lessons & Workshops,"A wonderful visit to the fabulous Johnston Collection in East Melbourne, The Boy's own story, is a wonderful example...",By 176rosemarys,-37.8157612,144.9833858,554.4
168,Holey Moley Golf Club Melbourne,4.2,132,Miniature Golf,Would highly recommend for a different great fun night out ! Would happily bring my teenagers here for a great family...,By alexandrad816,-37.8154489,144.9547725,554.4
169,The Adventure Merchants,4.9,113,River Rafting & Tubing • Adrenaline & Extreme Tours,We got lucky with this - abseiling in the You Yangs.,By stratcat11,-37.8115669,144.9650251,553.7
170,Haigh's Chocolates Collins Street,4.7,117,Speciality & Gift Shops,,,-37.8134188,144.9726719,549.9
171,Melbourne Recital Centre,4.8,114,Concerts • Theatres,"Once inside, the theatre was also spacious and modern, with high ceilings, comfortable seats and great acoustics.",By KstarMelbourne,-37.8238758,144.9676033,547.2
172,Imperial Hotel Bourke Street,4.2,130,Bars & Clubs,The upstairs function rook has been done up and the rooftop bar has one of the best views in Melbourne.,By 619jeffry,-37.81124,144.97277,546
173,Private Tours Victoria,5,109,Multi-day Tours • Sightseeing Tours,The penguin parade at Phillip Island is spectacular and one of those must see experiences.,By rv4502016,-37.8485176,144.9791924,545
174,Illusionaire Magic Show,4.6,118,Theatre & Performances,Great show for all ages,By lucyasherwood,-37.8150386,144.967359,542.8
175,Local Guide To Melbourne,5,106,Walking Tours,Matthew is a local professional tour guide who has created his own walking tour and map to introduce tourists to his...,By churaesie,-37.814532,144.966181,530
176,Lantern Ghost Tours,4.2,125,Ghost & Vampire Tours,"Our guide, Linda, was fun, informative and knowledgeable.",By KTurner2000,-37.8628905,144.9017284,525
177,Koko Black,4.3,122,Speciality & Gift Shops,,,-37.8144886,144.9640687,524.6
178,Bartronica,4.4,118,Bars & Clubs,So many old school games mixed with the latest pinball machines makes this place a must visit.,By Navelint,-37.8177681,144.9632057,519.2
179,Sherbrooke Forest,4.2,123,Forests,There are many walk ways through the forest with some leading to creaks and the mountain ash tree are beautifully maj...,By Partlyblonde,-37.8876048,145.3520675,516.6
180,LXM Escape Room,4.6,111,Escape Games,,,-37.8351284,144.9627644,510.6
181,Melbourne Sports Tours,4.8,105,City Tours • Cultural Tours,,,-37.8175277,144.9703434,504
182,This Is Melbourne,5,100,City Tours • Walking Tours,,,-37.8114786,145.0124171,500
183,Woodbury Escape Rooms - Melbourne,4.8,104,Escape Games,Great Team Building Fun,By WayBey,-37.8360105,144.9596361,499.2
184,Virtual Room Melbourne,5,99,Escape Games • Game & Entertainment Centres,It was an awesome and very immersive experience.,By davidvY5RP,-37.806456,144.9555264,495
185,Bourke Street Mall,4.3,115,Shopping Malls,"... chunk of the street and there are numerous shops, including the big department stores, Myer and David Jones.",By 750dimitrisl,-37.8143145,144.9644836,494.5
186,The Comics Lounge,4.6,107,Comedy Clubs,I have always wanted to go to a Comedy Club as I always like a good laugh.,By 367stephene,-37.8045082,144.9495239,492.2
187,The Lui Bar,4.4,111,Bars & Clubs,,,-37.8188934,144.9576721,488.4
188,King's Domain Gardens,4.6,106,Gardens,"There are too many features to list, but amongst the most prominent are the Sidney Myer Music Bowl and the Shrine of...",By 619jeffry,-37.8241558,144.9734846,487.6
189,Fun Addicts,4.8,101,Nature & Wildlife Tours,Would definitely recommend this short day trip.,By shaunawestwood,-37.8165213,144.956688,484.8
190,Forum Melbourne,4.7,102,Theatres,The staff were amazing and it was so easy to get out once the concert ended.,By rochelh155,-37.8165405,144.9693851,479.4
191,Djb Photography Walks Melbourne,5,95,Walking Tours • Photography Tours,The 'walk-shop' was very useful for photography beginners.,By PK1392,-37.7696776,144.9732579,475
192,LOST In Melbourne,4.7,99,Escape Games,We've played both Annabelle and Before Midnight and had a great time.,By LOSTinJB,-37.8171143,144.964219,465.3
193,Section 8,4.4,105,Bars & Clubs,,,-37.8117666,144.9654081,462
194,MTB Adventures,5,92,Bike Tours • Equipment Hire,,,-37.8213191,144.9572166,460
195,Melbourne & Olympic Parks,4.5,102,Arenas & Stadiums,,,-37.8136276,144.9630576,459
196,Hop It,3.7,124,Hop-On Hop-Off Tours • Wine Tours & Tastings ,Can’t rate these guys high enough!,By sophierC1367AL,-37.8169233,144.9697126,458.8
197,Rooftop Cinema,4.3,105,Cinemas,,,-37.8119942,144.9652513,451.5
198,Whisky & Alement,4.4,101,Bars & Clubs,,,35.6636072,139.712909,444.4
199,V Hotel Spa,4.6,96,Spas,My husband and I booked the couples package and had the most wonderful experience.,By R7803HVsarahj,-37.8178483,144.9540104,441.6
200,Body Freedom Urban Spa & Clinic,4.4,100,Spas,My masseuse was Rina and the best pregnancy massage which I’ve had in years.,By peggyc616,-37.8361307,144.9618078,440
201,Great Sights Melbourne,4.7,93,City Tours • Sightseeing Tours,Both my partner and I enjoyed ourselves at the Great Ocean Road Tour with Con (our driver).,By Luusihui,-37.8168664,144.9689352,437.1
202,Victoria Police Museum,4.3,101,Speciality Museums,The museum has a comprehensive history of Victoria's police dating from its infamous dealings with Ned Kelly and his...,By MalcolmT964,-37.8139094,144.9514926,434.3
203,Coops Shot Tower,4,108,Points of Interest & Landmarks,You can enter the Shot Tower Museum through the RM Williams store at the base of the tower.,By 619jeffry,-37.810559,144.9627448,432
204,TripFit Adventures,4.9,88,Bike Tours • Nature & Wildlife Tours,"... for you too! We've booked two tours in a row, cause we wanted to do both Yarra Valley and Mornington Peninsula.",By Alina_Burk,-37.841173,144.93712,431.2
205,Kino Cinemas,4.3,99,Cinemas,Located at the top end of Collins Street in Melbourne.,By JackB66,-37.8145368,144.9733034,425.7
206,Southbank Theatre,4.5,94,Theatres,We have seen many classic Australian and international plays performed here by the MTC; the performances have been tr...,By 619jeffry,-37.8239376,144.9683928,423
207,The Windsor's Cricketers Bar,4.2,100,Bars & Clubs,"Windsor Hotel guests often have a drink in the bar, but the on-going travel restrictions mean that international book...",By 619jeffry,-37.8119444,144.9730556,420
208,Birrarung Marr,4.5,92,Parks,"Birrarung Marr is especially popular in summer, when the people of Melbourne like to go for a stroll along the River...",By 619jeffry,-37.8187351,144.9742624,414
209,Queen Victoria Gardens,4.6,90,Parks • Gardens,The floral clock is awesome and really beautiful and the gardens are really pretty.,By tracyann2406,-37.8217291,144.9716108,414
210,The Palms at Crown,4.4,93,Bars & Clubs,"First time at the palms to see the legends in concert show, fantastic and well done to all.",By robbo011,-37.8249043,144.9571898,409.2
211,Moonlight Cinema Melbourne,4.5,90,Cinemas,We had a beautiful evening in ‘Gold Grass’ where the bean beds were included along with waiter service.,By BMadventures,-37.83048,144.981483,405
212,Marks Melbourne Private Tours,5,80,City Tours • Multi-day Tours,Mark’s passion and knowledge of the city made the 8 hour tour go by extremely quickly.,By bellad569,-37.850163,144.993873,400
213,Capital City Trail,3.3,121,Hiking Trails,A good starting point is the Merri Creek Trail in Coburg.,By 619jeffry,-37.8180235,144.9461872,399.3
214,Marcopolo Holiday,4.8,82,Private Tours • Wine Tours & Tastings ,I would highly recommend the Ocean Road tour wirh this company.,By Mynaro,-37.789056,145.159133,393.6
215,KINGS PF COMEDY,4.8,82,Comedy Clubs,Great night out with very funny local talent.,By Tanyamarg,-37.81452,144.955082,393.6
216,True Thai Massage,4.5,86,Spas,,,-37.8119174,144.9605082,387
217,Station Pier,4.1,93,Port Melbourne,Our cruise ship berthed at this pier.,By SAB5859,-37.842293,144.9321963,381.3
218,Parliament Gardens,4.5,84,Parks,He was also Governor of South Australia.,By 619jeffry,-37.8095207,144.973526,378
219,Speakeasy HQ,4.1,91,Theatres,Weekly Bible Study,By Sightsee585201,-37.820328,144.956957,373.1
220,IceBar Melbourne,3.8,98,Bars & Clubs,Wow what an amazing experience I got this as a surprise birthday gift for my partner & he loved it the ice sculptures...,By 148xtinah,-37.8174375,144.9695701,372.4
221,St,4.6,80,Architectural Buildings • Religious Sites,"Great place to have a word, think your thoughts, light a candle, and escape the noise and bustle of the city for a fe...",By beetcanner,-37.817029,144.967687,368
222,Spice Market,4.1,89,Bars & Clubs,,,-37.8148919,144.9696319,364.9
223,City Square,3.5,103,Points of Interest & Landmarks,,,-37.8158643,144.9669486,360.5
224,QV Shopping Centre,4.3,81,Speciality & Gift Shops,A good range and competitive prices plus the excellent Woolworths Rewards card scheme.,By brazilpinay,-37.810632,144.9656403,348.3
225,Aroma Thai Massage & Skin Care,4.4,78,Health Clubs • Spas,It was an impressive massage experience I've ever had.,By paulpW6209GZ,35.7082684,139.7759183,343.2
226,Fire Services Museum of Victoria,4.7,71,Speciality Museums,,,-37.8085895,144.9753635,333.7
227,ANZ Bank Museum,4.2,79,Architectural Buildings,The ANZ Bank Museum was constructed when a glorious banking chamber was evidence of wealth and soundness.,By 619je,-37.8166372,144.9618075,331.8
228,Half Moon Bay,4.8,69,Beaches,In Winter the beach is deserted so it’s perfect for walking and navigating your way across the Red Bluff Cliffs.,By Haggis_Supper,-37.969069,145.0107361,331.2
229,Waverley Cinema,4.3,77,Cinemas,Went and saw a new release movie on a Sunday and it only cost $9.,By A2323LAjohnh,-37.8916923,145.1428642,331.1
230,Orz Escape,3.3,100,Escape Games,,,-37.812652,144.967789,330
231,Adventure Rooms Melbourne,4.8,67,Escape Games,"My partner and I did the Mad Scientist room when we were in Melbourne this weekend, and it was great!",By RachieBaby119,-37.8146781,144.9643402,321.6
232,Shark Dive Xtreme Melbourne Aquarium,4.3,74,Scuba & Snorkelling,"The staff at Sea Life were incredible, extremely polite & friendly.",By eliiannuzzo,-37.8207679,144.9580586,318.2
233,Melbourne Laneway Photo Tours,4.8,66,City Tours • Cultural Tours,,,-37.8097472,144.9654858,316.8
234,HMAS Castlemaine,4.6,68,Speciality Museums,"HMAS Castlemaine is a corvette, she was built in the Williamstown Naval Dockyard, not far from where she is moored.",By 619je,-37.8610801,144.905685,312.8
235,Melbourne Photo Tours,4.8,65,Sightseeing Tours,,,-37.8097472,144.9654858,312
236,Transit Rooftop Bar,4.3,72,Bars & Clubs • Jazz Bars,"Great views of the city, the Yarra River and across to the Botanical Gardens.",By 47julianr,-37.8184536,144.9683982,309.6
237,Chocolate Walking Tours,4.4,70,City Tours • Walking Tours,,,-37.8157993,144.9646657,308
238,The Wharf Hotel,4.1,75,Bars & Clubs,,,-37.8226624,144.9538539,307.5
239,Manchester Unity Building,4.6,66,Points of Interest & Landmarks • Architectural Buildings,The board room is the finest example of Art Deco in the world!,By C4927HXericj,-37.8153266,144.9661686,303.6
240,V/Line,2.3,129,Public Transportation Systems,"I went from Southern Cross station to Bendigo on a warm and sunny day, despite the trip taking over 2 hours It didn't...",By nigelsimpson82,-37.8194489,144.9584481,296.7
241,Great Ocean Road Tours,4.6,64,Multi-day Tours • Sightseeing Tours,"Whoever you choose to tour with, choose a private tour, and, if you have the time, try to spend more than one day tou...",By JohnNewton44,-37.8185746,144.9627257,294.4
242,VR Plus,4.8,61,Game & Entertainment Centres,"amazing arcade, kids having fun and what more can I expect!",By fanp2018,-37.80052,144.967242,292.8
243,Bluebird Airport Shuttle,2,145,Bus Services • Taxis & Shuttles,,,-37.7101501,144.8716573,290
244,Flight Experience Flight Simulators,4.5,64,Amusement & Theme Parks,Amazing experience.,By Askmelbourne,-37.8103778,144.9656778,288
245,Rick's Wine Tours,5,57,Distillery Tours • Beer Tastings & Tours,,,-37.817664,144.957957,285
246,Chuan Spa,3.7,77,Spas,,,-37.8204542,144.9657017,284.9
247,Ripple Melbourne Massage Day Spa And Beauty,4,71,Spas,"Great massage, great guy.",By 489maximec,-37.8057562,144.9631569,284
248,Paul’s Wine Tours,5,56,Beer Tastings & Tours • Wine Tours & Tastings ,"He tailored our trip to where we wanted to go, entertained us with his knowledge of the Yarra Valley and played great...",By HannahCussa,-37.9329922,145.0387947,280
249,Chauffeur Link Melbourne,4.9,57,Taxis & Shuttles • Private Tours,Best hire car/chauffeur service in Australia!!!,By 566suvirk,-38.023475,145.300986,279.3
250,Asia Vacation Group,4,69,Taxis & Shuttles • Bike Tours,Would highly recommend this tour and company,By janeb304,-37.8384099,144.9746719,276
251,Intrepid Travel,4.3,64,Multi-day Tours • Cultural Tours,,,-37.8191273,144.9556196,275.2
252,Omni Car,5,55,Taxis & Shuttles,"Always receive highly professional service, clean and modern cars and very reasonably priced.",By PerthLancer99,-38.0933424,145.159422,275
253,St Michael's Church,4.5,61,Churches & Cathedrals,,,-37.8143091,144.9692703,274.5
254,Rentabike Tours,4.5,61,Bike Tours • Equipment Hire,The ride about town was very well planned and safe.,By MPLSBOB,-37.8186645,144.9698164,274.5
255,Melbourne Bike Share,4.5,61,Equipment Hire,,,-37.8587712,144.9788338,274.5
256,Garners Motorcycle Rentals,4.9,56,Motorcycle Tours • Equipment Hire,"The buys are helpful, relaxed and professional, the bike was in mint condition (BMW GS750) and the kit I hired comfor...",By jeremyf751,-37.812566,145.00234,274.4
257,PJ O'Brien's,4.4,62,Bars & Clubs,Central location in Southbank.,By kevincon3,-37.8203722,144.9659504,272.8
258,Hamer Hall,4.7,58,Theatres,"... artistic performances, including the Melbourne Symphony Orchestra, one of Australia's most accomplished musical e...",By 619jeffry,-37.8201455,144.9679946,272.6
259,GoGo Bar,4.3,63,Bars & Clubs,Third time I've had the set menu food at either GoGo or Chin Chin and each time it blows my mind.,By Travellinman99,-37.8156846,144.9703367,270.9
260,Village Cinemas,3.9,69,Cinemas,"While staying at the Crown, we booked tickets to watch a movie in style.",By I3271RLmoniqueb,-37.8234367,144.9580861,269.1
261,City River Cruises,4.2,64,Boat Tours,,,-37.8188146,144.968728,268.8
262,Princes Bridge,4.5,59,Bridges,"Old and historical, the bridge is one of a few that crosses the famous Yarra River.",By urbandrifter,-37.8192405,144.9683463,265.5
263,Strike Melbourne Central,4.3,61,Bowling Alleys • Game & Entertainment Centres,... Bowling- Always good music playing and really sets the vibe for a great time Laser Tag- Good layout and great fun,By ComplainingCouples,-37.8103595,144.963235,262.3
264,Last Minute Day Tours,4.3,61,Cultural Tours • Historical & Heritage Tours,,,-37.8186208,144.9627158,262.3
265,Wattle Park,4.5,58,Parks,,,-37.8383693,145.1056319,261
266,Lost Australia Station,4.7,55,Escape Games,I've done a 5 star difficulty escape room before which was much easier compared to this - it was quite challenging an...,By DavidoLoca,-37.7999683,144.9616326,258.5
267,Alexandra Gardens,4.6,56,Gardens,The park is also connected to the Kings Domain and the Royal Botanic Gardens.,By 619je,-37.8211657,144.9715883,257.6
268,Metro Trains,1.7,150,Rail Services • Public Transportation Systems,,,-37.819624,144.9509452,255
269,Union Lane,4.8,53,Points of Interest & Landmarks,,,-37.8143846,144.9647559,254.4
270,Madame Brussels,4.3,59,Bars & Clubs,There is a nice rooftop bar to enjoy a drink,By diamen56,-37.8120646,144.9715198,253.7
271,Scots Church,4.6,55,Churches & Cathedrals,,,-37.8146458,144.9684997,253
272,Australian Centre for Contemporary Art,4.2,60,Theatres,The current exhibition at ACCA is glass work by indigenous artist Yhonnie Scarce.,By 619jeffry,-37.8265889,144.9670222,252
273,Great Private Tours,5,50,City Tours • Sightseeing Tours,"... town for lunch, a ride on Puffing Billy, the steam train, and finally, we got to feed wild sulphur-crested cockat...",By susanaC3273ME,-37.974261,145.016172,250
274,Southgate Melbourne,4.2,59,Shopping Malls,There's a food court and ice cream shop with great views of the river and city.,By Kerryn72,-37.8203389,144.9660726,247.8
275,Cabinet Bar and Balcony,4.5,55,Bars & Clubs,"Try the eggplant chips, they will change your life.",By JarrydJones1965,-37.8141442,144.9663607,247.5
276,Lily Blacks,4.4,56,Bars & Clubs,,,-37.8122421,144.9724225,246.4
277,The Jam Factory,3.9,63,Cinemas • Shopping Malls,,,-37.8426307,144.9958153,245.7
278,Melbourne LimoLink,5,49,Taxis & Shuttles,Faysal has comfortable cars that are always immaculately presented.,By paule676,-37.649051,144.925792,245
279,Beneath Driver Lane,4.7,52,Bars & Clubs • Wine Bars,We got served Red Beards Revenge.,By eddiecB7835ML,-37.8129978,144.963023,244.4
280,Show Me Melbourne,4,61,Shopping Tours,,,-37.8136276,144.9630576,244
281,Specialty Wine Tours,5,48,Private Tours • Wine Tours & Tastings ,"The itinerary was informal, with a great winery lunch, another wine tasting in our lodgings at French Island Eco Inn,...",By eva317,-37.815493,144.973366,240
282,Escape Room Australia,4.7,51,Escape Games,,,-37.8311662,144.9607484,239.7
283,The National Opal Collection,4.4,53,Speciality Museums • Natural History Museums,"In the shop there is some display case about Opal and you can see video, too.",By q8hello,-37.8148667,144.9660318,233.2
284,The Ian Potter Museum of Art,4.4,53,Art Museums,It is the University of Melbourne's primary art gallery.,By 619jeffry,-37.7974995,144.9641604,233.2
285,Bargains and Bubbles: Melbourne Shopping Tour,4.4,53,Speciality & Gift Shops,,,-37.8102361,144.9627652,233.2
286,Cherry Bar,4.3,54,Bars & Clubs,,,-37.8128542,144.9713379,232.2
287,Fox Classic Car Collection,4.2,55,Sightseeing Tours,,,-37.8212536,144.9485091,231
288,Sandridge Railway Bridge,4.5,51,Bridges,I love this bridge and can remember when it carried trains to St Kilda and Port Melbourne.,By platypus150,-37.8192405,144.9683463,229.5
289,Classic Steamboat Cruises,4.3,53,Boat Tours,We wanted to combine a visit to the NGV with a Yarra river cruise.,By 505janw,-37.8197343,144.9678423,227.9
290,Haunted Melbourne Ghost Tour,3.4,67,Ghost & Vampire Tours,,,-37.8154758,144.9616847,227.8
291,Readings Book Shop,4.7,48,Speciality & Gift Shops,I’m always in heaven when I go into a Readings store and no more so in Carlton.,By urbandrifter,-37.7979985,144.9671137,225.6
292,Crown Spa Melbourne,4,56,Spas,"I returned the following day for the Soothe and Rejuvenate anti-oxidant facial which was gorgeous and again, with an...",By kristabel2016,-37.8221353,144.9598937,224
293,Koorie Heritage Trust,4.6,48,Speciality Museums,"This is all right in the middle of the CBD, Federation Square.",By TV2451,-37.8179914,144.9693722,220.8
294,The Butterfly Club,4.7,46,Speciality Museums,,,-37.8153792,144.965242,216.2
295,Foodie Trails,4.4,49,Walking Tours,,,-37.8868011,145.085478,215.6
296,Centre Place,4,53,Points of Interest & Landmarks,At the end of Degraves Street is Centre Place.,By courtzzzc,-37.8164247,144.9654483,212
297,Royal Standard Hotel,4.6,46,Bars & Clubs,,,-37.807831,144.9542788,211.6
298,The District Docklands,4.1,51,Shopping Malls,Loved the Melbourne Star and Pancake Parlour was a favourite for breakfast!,By Pebbles745,-37.8125536,144.9369982,209.1
299,Bar Ampere,4.5,46,Bars & Clubs,,,-37.8136637,144.9674292,207
300,Warrandyte State Park,4.6,45,State Parks • Nature & Wildlife Areas,,,-37.7289419,145.2434926,207
301,NSW Train Link,3.9,53,Rail Services,"Buffet car sells hot and cold grub , beers , wines and soft drinks.",By yandinazetland,-37.8173316,144.9528204,206.7
302,StoryVille,4.2,49,Bars & Clubs,In town the see the Alice in wonderland at the ACMI this was a perfect fit.,By nataliebM4645NI,-37.811172,144.966828,205.8
303,Union Electric Bar,4.6,44,Bars & Clubs,We’ve been living in Melbourne for over a year and I’ve been searching for a rooftop bar just like this.,By auveent,-37.8117952,144.9666176,202.4
304,LUNA Massage Therapies,4.8,42,Spas,,,-37.8146737,144.9408217,201.6
305,Mystery Adventures,4.9,41,Beer Tastings & Tours • Private Tours,Mystery picnic yarra valley,By mcnetti,-37.798895,144.980489,200.9
306,St Kilda Adventure Playground,4.6,43,Playgrounds,,,-37.8623493,144.9786344,197.8
307,St,4.6,43,Religious Sites,,,-37.817029,144.967687,197.8
308,The Lyall Spa,4.2,47,Spas,,,-37.8379191,144.9907471,197.4
309,28 Skybar Lounge,4.1,48,Bars & Clubs,,,-37.825781,144.957634,196.8
310,Moomba Festival,4.5,43,Cultural Events,The Birdman Competition is also popular; its held on the Yarra River.,By 619jeffry,-37.8187351,144.9742624,193.5
311,Foodi,4.3,45,Walking Tours • Food Tours,,,-37.800576,144.9557042,193.5
312,Pub Crawl Melbourne,4.2,46,"Bar, Club & Pub Tours",,,-37.8142669,144.9599797,193.2
313,Omescape Melbourne,4.1,47,Escape Games,,,-37.7919444,144.9388889,192.7
314,City Sports Tours,5,38,Walking Tours • Sightseeing Tours,Fun tour which included the added extras of the MCG tour and National Sports Museum.,By westyj2018,-37.8279601,144.9683224,190
315,Mrs Parmas,4.3,44,Bars & Clubs,,,-37.810674,144.971958,189.2
316,Romeo Lane,4.6,41,Bars & Clubs,,,-37.8116371,144.9713087,188.6
317,Seven Seeds Specialty Coffee,4.5,41,Coffee Shops,,,-37.802872,144.959121,184.5
318,Boutique Explorations,4.1,45,City Tours • Cultural Tours,"... as we had limited time in Melbourne, but we really wanted to see the Penguin Parade and the Great Ocean road .",By jayry2019,-37.8120908,144.9711906,184.5
319,Collins Place,4.2,43,Shopping Malls,,,-37.8145486,144.9732397,180.6
320,Posh Penguins - Exclusively Private Phillip Island Tours,5,36,Eco Tours • Sightseeing Tours,We choose a company called posh penguins for a full day tour and it turned out to be a great choice.,By stevenb0yle,-38.5206617,145.3378189,180
321,Whisky Den,4.7,38,Wine Bars,Seriously impressed with their range of Aussie offerings.,By S4nnyBunny,-37.816041,144.969462,178.6
322,Strike Escape Rooms QV,4.2,42,Escape Games,,,-37.8103909,144.9630428,176.4
323,White Night Melbourne,4.5,39,Cultural Events,,,-37.779671,144.874867,175.5
324,Panton Hill Vineyard and Winery,4.3,40,Wineries & Vineyards,The wine tasting was extremely well managed by Dorothy & her husband.,By Neil8911,-37.638138,145.223112,172
325,Red Herring Escape Rooms,4.9,35,Escape Games,The staff at the door gave us some brain teasers and fun little puzzles with cards and match-sticks to get us nice an...,By 795joshuaf,-37.8234367,144.9580861,171.5
326,333 Collins Street,4.5,38,Points of Interest & Landmarks,This foyer could be in any stately building in Europe or Dubai.,By AndyJohn74,-37.8169726,144.9633347,171
327,The Drunken Poet,4.6,37,Bars & Clubs,,,-37.8066667,144.9555556,170.2
328,Michaels Camera Museum,4.2,40,Speciality Museums,,,-37.8125453,144.9621569,168
329,Albert Park Golf Course,4,42,Golf Courses,,,-37.8481855,144.9765901,168
330,Laurel Beauty and Spa,4.3,39,Spas,,,-37.8135607,144.9429037,167.7
331,Curtin House,4.4,38,Architectural Buildings,Absolutely love the rooftop bar!,By shanebT9677YR,-37.8120139,144.9652611,167.2
332,Good Times Tours,5,33,Bike Tours • Walking Tours,,,-37.7558111,145.0537378,165
333,Penny Blue,4.3,38,Bars & Clubs,,,-37.8128598,144.9630165,163.4
334,Kingpin Crown,4.5,36,Bowling Alleys • Bars & Clubs,"It’s been so long since we went Ten Pin Bowling, but wow we had such fun, we’ll certainly be back.",By RichardJ35e,-37.8240028,144.9574294,162
335,Heartbreaker,4.5,36,Bars & Clubs,,,-37.8110148,144.9675264,162
336,Melbourne Photography Tours,5,32,Lessons & Workshops • Photography Tours,Night Photography Workshop for beginners,By 471gerrardh,-37.817098,144.959749,160
337,Floral Clock,4.1,39,Points of Interest & Landmarks,,,-37.8227843,144.9705528,159.9
338,Vigorous Thai Massage,4.2,38,Spas,"The therapist and massaging with knees, elbows and whatever is needed to get those tight spots.",By DrMiles,-37.8127815,144.9687142,159.6
339,The Athenaeum Theatre,4.3,37,Theatres,This is a great old theatre and has been updated to accommodate the Comedy festival.,By 655Denis,-37.814949,144.967453,159.1
340,Tan Track,4.5,35,Hiking Trails,Joggers run shoulders with Olympians and professional footballers.,By 619jeffry,-37.8287687,144.9841863,157.5
341,St,4.6,34,Architectural Buildings • Religious Sites,St Augustine Church was built in 1869-1870 in the Neo-Gothic style of axed bluestone with sandstone dressings.,By petermY2777LY,-37.817029,144.967687,156.4
342,Princes Park,4.6,34,Playgrounds,,,-37.7849822,144.9613756,156.4
343,Tree Fern Gully Track,4,39,Hiking Trails,,,-37.8821227,145.3183825,156
344,The Japanese Bath House,4.7,33,Health Clubs,,,-37.8073646,144.9897583,155.1
345,Great Ocean Road Explorer - Exclusively Private Tours,5,31,Multi-day Tours • Sightseeing Tours,"... they insisted on taking a private tour, so I very reluctantly booked a two day tour with Great Ocean Road Explorer.",By PaulHutchings36,-37.8242019,144.9428758,155
346,Laneways of Melbourne Tour,4.8,32,Sightseeing Tours,"Our tour leader, John gave an overview of early history and settlement as an introduction as to how the laneways came...",By happywanderer031,-37.8097472,144.9654858,153.6
347,Plaza Premium  Lounge,3.8,40,Airport Lounges,I entered it via priority pass.,By BPY123,-37.6678316,144.8463719,152
348,Kanga Road Tours,4,38,Multi-day Tours • Private Tours,,,-37.825962,144.9381672,152
349,Limozone,4.9,31,Taxis & Shuttles,,,-37.9862483,145.1012281,151.9
350,Junk Food Cooking School,4.9,31,Cooking Classes,,,-37.845088,144.993935,151.9
351,State Theatre,4.7,32,Theatres,The theatre has great acoustics and easy to access.,By Gymstar,-37.8214135,144.9683969,150.4
352,University of Melbourne,4.5,33,Universities & Schools,"The early parts of the University were built of sandstone, by hand, by stonemasons, In 1856, stonemasons working on t...",By 619jeffry,-37.7983459,144.960974,148.5
353,The Irish Times Pub Melbourne,4.3,33,Bars & Clubs,,,-37.8162205,144.9604985,141.9
354,Newquay Promenade,4,35,Piers & Boardwalks • Scenic Walking Areas,Great Views of Docklands Area,By Michael-4551,-37.8152122,144.9412979,140
355,Discovera Walking Tours,4.8,29,"City Tours • Bar, Club & Pub Tours",,,-37.8097472,144.9654858,139.2
356,endota spa,4.2,33,Spas,,,-37.814967,144.9723504,138.6
357,Boat O'Craigo Winery,4.6,30,Wineries & Vineyards,There's a $5 tasting fee for about 5 wines - very reasonable.,By robbrain,-37.6488385,145.544843,138
358,La Trobe's Cottage,4.4,31,Historic Sites,,,-37.8315983,144.9760622,136.4
359,Academy of Scuba,4.3,31,Scuba & Snorkelling,Not all dive course providers are the same,By Y2388YYannaw,-38.389496,144.80256,133.3
360,The Botanical,3.9,34,Bars & Clubs,,,-37.8341972,144.9816639,132.6
361,Miyabi Japanese Massage,4.7,28,Spas,,,-37.8117749,144.9697383,131.6
362,Melbourne Brewery Tours,5,26,Beer Tastings & Tours,,,-37.8110732,144.9647043,130
363,Alfy Tours,5,26,Sightseeing Tours • Day Trips,,,-37.8114057,144.9609858,130
364,Visitas Guiadas Melbourne,5,26,City Tours • Cultural Tours,,,-37.8167323,144.9667418,130
365,Government House,4.3,30,Architectural Buildings • Government Buildings,"Government House is the residence of the Governor of Victoria, the representative of the Head of State..",By 619je,-37.8275183,144.9771108,129
